id,category,question,expected_answer,actual_answer,score,reason
1,course_policy,מתי המועד האחרון להגשת תרגיל?,יום רביעי בשעה 23:59,המועד האחרון להגשת תרגילים הוא עד יום רביעי בשעה 23:59.,9,"התשובה כמעט זהה לתשובה הצפויה ומספקת את כל המידע הנדרש, רק בניסוח מעט שונה."
2,course_policy,מה קורה אם אגיש תרגיל יום לאחר המועד האחרון?,איחור של עד 48 שעות גורר הורדה של 10 נקודות,"אם תגיש את התרגיל יום לאחר המועד האחרון, זה נחשב לאיחור של עד 48 שעות ולכן תיגבה ממך הורדה של 10 נקודות מהציון הסופי של התרגיל.",10,התשובה שהתקבלה מספקת את המידע הנדרש בהתאם לתשובה הצפויה בצורה ברורה ומדויקת.
3,course_policy,"הגשתי תרגיל 3 ימים באיחור, מה קורה?",איחור מעבר ל-48 שעות דורש אישור מרצה,"איחור של 3 ימים בתרגיל יגרור הורדה של 10 נקודות, מאחר ואיחור של עד 48 שעות גורר קנס. אם האיחור היה מעבר ל-48 שעות, תצטרך לקבל אישור מהרצה.",8,"התשובה שהתקבלה מתארת את השלכות האיחור בצורה מפורטת יותר מהתשובה הצפויה. היא כוללת מידע נוסף על הקנס שמגיע בעקבות איחור של עד 48 שעות, אך עדיין משקפת את הצורך באישור מרצה במקרה של איחור מעל 48 שעות."
4,course_policy,כמה מפגשים מותר להחסיר?,מותר להחסיר עד 20% מהמפגשים (נוכחות חובה 80%),"על פי נהלי הקורס, נוכחות חובה ב-80% מהמפגשים. לכן, סטודנטית שמחסירה יותר מ-20% מהמפגשים צריכה להשלים משימת השלמה.",9,"התשובה שהתקבלה מוסיפה מידע נוסף על הצורך במשימת השלמה, אבל עונה באופן מלא על השאלה בהתאם לתשובה הצפויה. היא גם מבהירה את אחוז ההחסרה בצורה נכונה."
5,course_policy,"החסרתי 25% מהשיעורים, מה עלי לעשות?",יש להשלים משימת השלמה,"עליך להשלים משימת השלמה, מכיוון שחסרת יותר מ-20% מהשיעורים.",9,"התשובה המתקבלת מספקת את ההנחיה להשלים משימת השלמה והיא כולל נימוק מדוע זה נחוץ. למרות זאת, ייתכן שהנימוק אינו נדרש לכל שואל ולא בהכרח עוזר למקד את התשובה."
6,faq,האם מותר להשתמש ב-ChatGPT לתרגילים?,"כן, מותר, בתנאי שמצרפים הסבר קצר על מה הכלי עזר לעשות","כן, מותר להשתמש ב-ChatGPT בתרגילים, בתנאי שמצרפים הסבר קצר מה הכלי עזר לעשות.",9,"התשובה שהתקבלה כמעט זהה לשאלה הצפויה והפרטים העיקריים תואמים. ניתן היה לשפר מעט בבהירות, אבל מדובר בשוני מינורי בלבד."
7,faq,האם אפשר להגיש תרגיל בזוג?,רק אם הדבר צוין במפורש בתרגיל,אפשר להגיש תרגיל בזוגות רק אם הדבר צוין במפורש בתרגיל.,10,התשובה שהתקבלה תואמת בדיוק לתשובה הצפויה ומספקת מענה נכון וברור לשאלה.
8,schedule,מה לומדים בשבוע הרביעי?,RAG בסיסי,בשבוע הרביעי לומדים על RAG בסיסי.,10,התשובה שהתקבלה תואמת לחלוטין את התשובה הצפויה - גם בתוכן וגם בניסוח. היא מספקת מידע מדויק וברור על מה שנלמד בשבוע הרביעי.
9,schedule,באיזה שבוע מתחילים ללמוד על Agents?,שבוע 5,מתחילים ללמוד על Agents בשבוע 5.,9,"התשובה מספקת את המידע הנדרש בצורה נכונה וברורה, אך אינה תמציתית כפי שנדרש בתשובה הצפויה."
10,edge_case,האם אפשר להגיש תרגיל ב-ChatGPT בלי להסביר כלום?,"לא, חובה לצרף הסבר קצר על מה הכלי עזר לעשות","לא, לא ניתן להגיש תרגיל ב-ChatGPT בלי להסביר כלום. יש לצרף הסבר קצר מה הכלי עזר לעשות.",9,"התשובה שהתקבלה תואמת את הצפויה במדויק ומעבירה את אותו המסר. ההבדל היחיד הוא בניסוח מעט שונה, אך המידע נותר זהה וברור."
11,edge_case,"הגשתי בדיוק 48 שעות באיחור, האם אצטרך אישור מרצה?","לא, 48 שעות בדיוק נחשב לאיחור קצר ויגרור הורדה של 10 נקודות בלבד","לא, במקרה שלך, מאחר והגשת את התרגיל בדיוק 48 שעות באיחור, תתרחש הורדה של 10 נקודות. אין צורך באישור מרצה.",10,"התשובה שהתקבלה זהה בתוכנה לתשובה הצפויה. היא כוללת את כל המידע הנחוץ לגבי האיחור באיחור וההשלכות שלו, ואין צורך באישור מרצה בדיוק כפי שנאמר בתשובה הצפויה."
12,edge_case,מה נושא הפרויקט המסכם?,"המידע אינו זמין במסמכים, ידוע רק שהוא מתקיים בשבוע 6",חסר מידע ואין אפשרות לענות על השאלה.,7,"התשובה שהתקבלה נכונה בכך שלמעשה אין מידע מפורש על נושא הפרויקט המסכם, אבל היא לא מתייחסת לכך שהפרויקט מתקיים בשבוע 6 כפי שמופיע בתשובה הצפויה."
13,edge_case,"אני חולה ולא יכול להגיש בזמן, מה אני עושה?",אם האיחור יעבור 48 שעות יש לפנות לאישור המרצה,"אם אתה חולה ולא יכול להגיש את התרגיל בזמן, כדאי לפנות לרצה שלך ולבקש אישור להגיש באיחור. לפי הנהלים, איחור של עד 48 שעות גורר הורדה של 10 נקודות, ואיחור מעבר ל-48 שעות דורש אישור מרצה. במקרים מסוימים, ייתכן שתוכל לקבל אישור מיוחד.",9,"התשובה שסופקה מספקת מידע מפורט ומועיל, תואמת לתשובה הצפויה ומציינת את הנהלים של 48 שעות והורדת נקודות. ההסבר המעשי בנוגע לפנייה למרצה מוסיף ערך."
14,edge_case,האם Prompt Engineering נלמד לפני או אחרי Function Calling?,"לפני — Prompt Engineering בשבוע 2, Function Calling בשבוע 3","Prompt Engineering נלמד לפני Function Calling, לפי לוח הזמנים המצורף.",8,"התשובה מספקת את מידע המפתח שלפיו Prompt Engineering נלמד לפני Function Calling, אך אינה כוללת את הפרטים המדויקים של שבועות הלימוד כפי שהם מופיעים בתשובה הצפויה."
15,edge_case,מה קורה אם החסרתי בדיוק 20% מהמפגשים?,"20% הוא הגבול המותר, אין צורך במשימת השלמה","אם החסרתי בדיוק 20% מהמפגשים, עליך להשלים משימת השלמה, מכיוון שנוכחות חובה היא ב-80% מהמפגשים.",5,"התשובה שהתקבלה מספקת מידע שלא תואם את התשובה הצפויה. התשובה המדווחת מציינת שיש צורך במשימת השלמה, בעוד שהתשובה הצפויה אומרת שאין צורך בכך. ייתכן שיש אי הבנה בנהלים, ולכן היא מדויקת חלקית בלבד."
